,restaurant,lat,lon,address,price($),tag,star,description,tokens,dominant_topic,topic_id,consumer_type,consumer_scene
27,Jean-Georges,40.76907,-73.98155,"1 Central Park West, New York, 10023, USA",4,"Contemporary, French",2,"Chef Jean-Georges Vongerichten’s culinary empire stretches far and wide, but Central Park will always be his home. Chef de Cuisine Joseph Rhee and this team sustain a legacy defined by a mastery of French techniques and a respect for global flavors. The signature egg toast with caviar is an assured start before launching into an ever-evolving menu rich with precision and elegance. Efforts like tomatillo-lemon verbena jus, black truffle with za’atar, and sunflower seed ajo blanco demonstrate originality and boldness in spades. Those opting for the vegetarian menu will enjoy the season's best produce, like heirloom tomatoes composed with crunchy vegetable mignonette and spiced dressing. ","['chef', 'jeangeorg', 'vongerichten', 'culinari', 'empir', 'stretch', 'far', 'wide', 'but', 'central', 'park', 'will', 'alway', 'hi', 'home', 'chef', 'cuisin', 'joseph', 'rhee', 'team', 'sustain', 'legaci', 'defin', 'masteri', 'french', 'techniqu', 'respect', 'global', 'flavor', 'signatur', 'egg', 'toast', 'caviar', 'assur', 'start', 'befor', 'launch', 'everevolv', 'menu', 'rich', 'precis', 'eleg', 'effort', 'like', 'tomatillolemon', 'verbena', 'ju', 'black', 'truffl', 'zaatar', 'sunflow', 'seed', 'ajo', 'blanco', 'demonstr', 'origin', 'bold', 'spade', 'those', 'opt', 'vegetarian', 'menu', 'will', 'enjoy', 'season', 'best', 'produc', 'like', 'heirloom', 'tomato', 'compos', 'crunchi', 'veget', 'mignonett', 'spice', 'dress']",7,7,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
28,Café Boulud,40.765169,-73.967619,"100 E. 63rd St., New York, 10065, USA",4,French,1,"A new and improved Café Boulud has been beautifully reborn on the storied corner of 63rd street and Park Avenue with Executive Chef Romain Paumier at the helm. The setting is appropriately posh and exudes Art Deco vibes.
Enjoy this unique prix fixe menu which highlights four inspirations: classic French cuisine; ""La Saison;"" vegetarian farmers' market dishes; and ""Le Voyage,"" offering an international focus. Choose one style of menu or handpick for a multicourse meal that is on-point with sharp execution and a soigné presentation. The array of impressive cooking here includes the likes of the signature black sea bass wrapped in crispy potatoes and sauced with a red wine reduction; seared scallops with Champagne beurre blanc; or lobster ravioli dressed with a vivid lobster bisque as well as preserved lemon curd.","['new', 'improv', 'caf', 'boulud', 'beauti', 'reborn', 'stori', 'corner', 'street', 'park', 'avenu', 'execut', 'chef', 'romain', 'paumier', 'helm', 'set', 'appropri', 'posh', 'exud', 'art', 'deco', 'vibe', 'enjoy', 'prix', 'fix', 'menu', 'which', 'highlight', 'four', 'inspir', 'classic', 'french', 'cuisin', 'saison', 'vegetarian', 'farmer', 'market', 'dish', 'voyag', 'offer', 'intern', 'focu', 'choos', 'one', 'style', 'menu', 'handpick', 'multicours', 'meal', 'onpoint', 'sharp', 'execut', 'soign', 'present', 'array', 'cook', 'here', 'includ', 'like', 'signatur', 'black', 'sea', 'bass', 'wrap', 'crispi', 'potato', 'sauc', 'red', 'wine', 'reduct', 'sear', 'scallop', 'champagn', 'beurr', 'blanc', 'lobster', 'ravioli', 'dress', 'vivid', 'lobster', 'bisqu', 'well', 'preserv', 'lemon', 'curd']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
29,Daniel,40.766752,-73.967504,"60 E. 65th St., New York, 10065, USA",4,French,1,"Daniel is a classic New York restaurant. For over thirty years, this fine dining room has been the spot for brokering deals and celebrating special occasions. With art from James Rosenquist complementing the coffered ceilings capped with signature Bernardaud porcelain chandeliers, it remains an iconic Upper East Side spot.
Executive Chef Eddy Leroux's multicourse tasting menus showcase high-quality ingredients and classic French cuisine. Recent highlights have included the kataifi-crusted Alaskan wild salmon topped with roe and crispy skin, followed by a half-moon of macadamia mousseline with praline, cookie ruse, and a cherry brandy anglaise. As might be expected, the wine list features an impressive collection of French wines.","['daniel', 'classic', 'new', 'york', 'restaur', 'over', 'thirti', 'year', 'dine', 'room', 'spot', 'broker', 'deal', 'celebr', 'occas', 'art', 'jame', 'rosenquist', 'complement', 'coffer', 'ceil', 'cap', 'signatur', 'bernardaud', 'porcelain', 'chandeli', 'remain', 'icon', 'upper', 'east', 'side', 'spot', 'execut', 'chef', 'eddi', 'leroux', 'multicours', 'tast', 'menu', 'showcas', 'highqual', 'ingredi', 'classic', 'french', 'cuisin', 'recent', 'highlight', 'includ', 'kataificrust', 'alaskan', 'wild', 'salmon', 'top', 'roe', 'crispi', 'skin', 'follow', 'halfmoon', 'macadamia', 'mousselin', 'pralin', 'cooki', 'ruse', 'cherri', 'brandi', 'anglais', 'might', 'expect', 'wine', 'list', 'featur', 'collect', 'french', 'wine']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
30,Sushi Noz,40.77384,-73.958275,"181 E. 78th St., New York, 10075, USA",4,"Japanese, Sushi",2,"There is a certain energy that courses through this sacred space, where every detail recreates an intimate Japanese refuge. Some of the tools alone are marvels, and Chef Nozomu Abe is a meticulous and engaging craftsman. When booking, keep an eye out for his dates and time slots.  
Commence with cooked dishes like pearly sea perch with fresh ponzu dipping sauce and slender pieces of meltingly tender ice fish. Miso soup is the perfect backdrop for silky-soft eel “noodles” with salted egg yolk cream and crispy tofu pieces, while sushi is jewel-like. True to Japanese hospitality, kimono-dressed staff and the chef himself see guests off with a spirit of gratitude. ","['there', 'certain', 'energi', 'cours', 'through', 'sacr', 'space', 'where', 'everi', 'detail', 'recreat', 'intim', 'japanes', 'refug', 'some', 'tool', 'alon', 'marvel', 'chef', 'nozomu', 'abe', 'meticul', 'engag', 'craftsman', 'when', 'book', 'keep', 'eye', 'out', 'hi', 'date', 'time', 'slot', 'commenc', 'cook', 'dish', 'like', 'pearli', 'sea', 'perch', 'ponzu', 'dip', 'sauc', 'slender', 'piec', 'meltingli', 'tender', 'ice', 'fish', 'miso', 'soup', 'backdrop', 'silkysoft', 'eel', 'noodl', 'salt', 'egg', 'yolk', 'cream', 'crispi', 'tofu', 'piec', 'while', 'sushi', 'jewellik', 'true', 'japanes', 'hospit', 'kimonodress', 'staff', 'chef', 'himself', 'see', 'guest', 'off', 'spirit', 'gratitud']",4,4,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
31,Essential by Christophe,40.780833,-73.976657,"103 W. 77th St., New York, 10024, USA",4,"French, Contemporary",1,"Push past the heavy iron doors to this modern restaurant tucked at the base of a classic townhouse. Supple leather, brass touches and various shades of beige comprise the contemporary, elegant space, where a buzzy bar and a welcoming dining room await. 
Chef Christophe Bellanca's dishes echo a simple elegance, evidenced by plump white asparagus on a fragrant bergamot-flavored crème with a refreshing herb vinaigrette and paper-thin slices of watermelon radish. French technique is married with Asian flavors in a dish of three blue prawns with genmaicha tuille, and braised black sea bass with shiitake chutney, razor clams and a turmeric emulsion is memorable. For a light ending, the orange soufflé is bright and fragrant, especially when served with green cardamom ice cream.","['push', 'past', 'heavi', 'iron', 'door', 'restaur', 'tuck', 'base', 'classic', 'townhous', 'suppl', 'leather', 'brass', 'touch', 'variou', 'shade', 'beig', 'compris', 'contemporari', 'space', 'where', 'buzzi', 'bar', 'welcom', 'dine', 'room', 'await', 'chef', 'christoph', 'bellanca', 'dish', 'echo', 'simpl', 'eleg', 'evidenc', 'plump', 'white', 'asparagu', 'fragrant', 'bergamotflavor', 'crme', 'refresh', 'herb', 'vinaigrett', 'paperthin', 'slice', 'watermelon', 'radish', 'french', 'techniqu', 'marri', 'asian', 'flavor', 'dish', 'three', 'blue', 'prawn', 'genmaicha', 'tuill', 'brais', 'black', 'sea', 'bass', 'shiitak', 'chutney', 'razor', 'clam', 'turmer', 'emuls', 'light', 'end', 'orang', 'souffl', 'bright', 'fragrant', 'especi', 'when', 'serv', 'green', 'cardamom', 'ice', 'cream']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
32,Icca,40.714134,-74.007713,"20 Warren St., New York, 10007, USA",4,"Japanese, Sushi",1,"Chef counters are a treat, but a seat in front of Chef Kazushige Suzuki feels like a best-kept secret. The room has a presence of its own, notable in scale and hidden away in the back past a cocktail bar. Friendly as ever and seemingly never in a hurry, the chef sources fish entirely from Japan and keeps his nigiri traditional with little more adornment than a brushing of nikiri.","['chef', 'counter', 'treat', 'but', 'seat', 'front', 'chef', 'kazushig', 'suzuki', 'feel', 'like', 'bestkept', 'secret', 'room', 'presenc', 'own', 'notabl', 'scale', 'hidden', 'away', 'back', 'past', 'cocktail', 'bar', 'friendli', 'ever', 'seemingli', 'never', 'hurri', 'chef', 'sourc', 'fish', 'entir', 'japan', 'keep', 'hi', 'nigiri', 'littl', 'more', 'adorn', 'than', 'brush', 'nikiri']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
33,Atera,40.71685,-74.005591,"77 Worth St., New York, 10013, USA",4,Contemporary,2,"Counter dining can sometimes be a cramped affair, but fortunately, this one is spacious enough to leave plenty of elbow room, allowing guests to enjoy the immersive experience in comfort. The kitchen, led by Danish chef Ronny Emborg, runs with a quiet tranquility that forms a sharp contrast to the boisterous playlist, which helps keep the room from feeling stuffy. The menu comprises numerous beguiling courses with global accents, featuring subtle flavors and deftly weaving together both delicacy and richness. A dish of minute, briny shigoku oysters strikes an intriguing balance between vegetal and fruit notes when matched with kiwi and cucumber, while a perfectly cooked morsel of halibut is bolstered with an impeccable buttery shrimp bisque.","['counter', 'dine', 'can', 'sometim', 'cramp', 'affair', 'but', 'fortun', 'one', 'spaciou', 'enough', 'leav', 'plenti', 'elbow', 'room', 'allow', 'guest', 'enjoy', 'immers', 'experi', 'comfort', 'kitchen', 'led', 'danish', 'chef', 'ronni', 'emborg', 'run', 'quiet', 'tranquil', 'form', 'sharp', 'contrast', 'boister', 'playlist', 'which', 'help', 'keep', 'room', 'feel', 'stuffi', 'menu', 'compris', 'numer', 'beguil', 'cours', 'global', 'accent', 'featur', 'subtl', 'flavor', 'deftli', 'weav', 'togeth', 'both', 'delicaci', 'rich', 'dish', 'minut', 'brini', 'shigoku', 'oyster', 'strike', 'intrigu', 'balanc', 'between', 'veget', 'fruit', 'note', 'when', 'match', 'kiwi', 'cucumb', 'while', 'perfectli', 'cook', 'morsel', 'halibut', 'bolster', 'impecc', 'butteri', 'shrimp', 'bisqu']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
34,Shion 69 Leonard Street,40.71757,-74.00549,"69 Leonard St., New York, 10013, USA",4,"Japanese, Sushi",1,"There are just eight seats and a distinctive Japanese charm at Chef Shion Uino's quiet sushi-ya, which features prized, beautiful seafood sourced primarily from Japan (including impressive amount directly from fishermen in his hometown of Amakusa). Never, at any point, does it look like the chef is cutting from a filet he’s already sliced. The product is whole and luscious every time, which is all the more reason why the nigiri sees little beyond a dot of wasabi or a dab of nikiri. Regulars, of which there are many, are treated to special pieces throughout the evening and will recognize some of his signature dishes, like hairy crab dressed with Japanese black vinegar, as well as his unrivaled tamago, which tastes as perfect as it looks. ","['there', 'eight', 'seat', 'distinct', 'japanes', 'charm', 'chef', 'shion', 'uino', 'quiet', 'sushiya', 'which', 'featur', 'prize', 'seafood', 'sourc', 'primarili', 'japan', 'includ', 'amount', 'directli', 'fishermen', 'hi', 'hometown', 'amakusa', 'never', 'ani', 'point', 'doe', 'look', 'like', 'chef', 'cut', 'filet', 'he', 'alreadi', 'slice', 'product', 'whole', 'lusciou', 'everi', 'time', 'which', 'more', 'reason', 'whi', 'nigiri', 'see', 'littl', 'beyond', 'dot', 'wasabi', 'dab', 'nikiri', 'regular', 'which', 'there', 'mani', 'treat', 'piec', 'throughout', 'even', 'will', 'recogn', 'some', 'hi', 'signatur', 'dish', 'like', 'hairi', 'crab', 'dress', 'japanes', 'black', 'vinegar', 'well', 'hi', 'unriv', 'tamago', 'which', 'tast', 'look']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
35,Jungsik New York,40.718726,-74.009111,"2 Harrison St., New York, 10013, USA",4,"Korean, Contemporary",3,"Cool and polished, this dining room bears that perfectly downtown nexus of low-key yet elegant; with its dark and light color scheme and intimate proportions. Chef/owner Mr. Yim Jung Sik and Executive Chef Daeik Kim's Korean meal starts like many do, with an array of banchan; however, the presentation here is unlike any other; and it's just that creativity that makes dining here so distinctive. From there, the tasting menu unfolds to reveals delights such as slivers of raw striped jack with white kimchi and chilled fish bone broth; gorgeously crisped octopus with gochujang aioli; and dry-aged Arctic char in a pool of kimchi and red curry sauce. This is cooking that is highly original, impeccably executed, and enormously satisfying; a meal that makes you involuntarily nod to yourself while you’re eating.","['cool', 'polish', 'dine', 'room', 'bear', 'perfectli', 'downtown', 'nexu', 'lowkey', 'yet', 'dark', 'light', 'color', 'scheme', 'intim', 'proport', 'chefown', 'yim', 'jung', 'sik', 'execut', 'chef', 'daeik', 'kim', 'korean', 'meal', 'start', 'like', 'mani', 'array', 'banchan', 'howev', 'present', 'here', 'unlik', 'ani', 'other', 'creativ', 'make', 'dine', 'here', 'distinct', 'there', 'tast', 'menu', 'unfold', 'reveal', 'delight', 'sliver', 'raw', 'stripe', 'jack', 'white', 'kimchi', 'chill', 'fish', 'bone', 'broth', 'gorgeous', 'crisp', 'octopu', 'gochujang', 'aioli', 'dryag', 'arctic', 'char', 'pool', 'kimchi', 'red', 'curri', 'sauc', 'cook', 'highli', 'origin', 'impecc', 'execut', 'enorm', 'satisfi', 'meal', 'make', 'involuntarili', 'nod', 'yourself', 'while', 'your', 'eat']",7,7,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
36,One White Street,40.71935,-74.006101,"1 White St., New York, 10013, USA",4,Contemporary,1,"This 19th-century townhouse, once the downtown hangout for John Lennon and Yoko Ono, has been transformed into a destination of culinary excellence, thanks to Chef Austin Johnson. The lower level operates more like a wine bar with crowds aplenty, while the higher floors offer the same seasonal tasting menu, starring products sourced from their upstate farm. Bold and clever flavors come easily to this kitchen team, as seen in cheddar gougères garnished with caviar and lemon zest, followed by a melting square of braised lamb with black garlic purée and charred Chinese celery.","['thcenturi', 'townhous', 'onc', 'downtown', 'hangout', 'john', 'lennon', 'yoko', 'ono', 'transform', 'destin', 'culinari', 'excel', 'thank', 'chef', 'austin', 'johnson', 'lower', 'level', 'oper', 'more', 'like', 'wine', 'bar', 'crowd', 'aplenti', 'while', 'higher', 'floor', 'offer', 'same', 'tast', 'menu', 'star', 'product', 'sourc', 'upstat', 'farm', 'bold', 'clever', 'flavor', 'come', 'easili', 'kitchen', 'team', 'seen', 'cheddar', 'gougr', 'garnish', 'caviar', 'lemon', 'zest', 'follow', 'melt', 'squar', 'brais', 'lamb', 'black', 'garlic', 'pure', 'char', 'chines', 'celeri']",7,7,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
37,Crown Shy,40.706707,-74.008721,"70 Pine St., New York, 10005, USA",3,"Contemporary, American",1,"Crown Shy occupies a stunning setting in the landmark Art Deco tower, 70 Pine Street. The striking lobby leads to a modern dining room with soaring ceilings, marble floors, and expansive windows. It’s an undeniable feast for the senses, the energy made all the more palpable thanks to a long bar and an upbeat playlist. The kitchen, meanwhile, moves like clockwork with an approachably creative style. Gruyère fritters are a classic, as are the pillowy ricotta gnocchi, sometimes finished with vin jaune or, if the season is right, shaved white truffles. Charred carrots with razor clams and coconut curry as well as beef carpaccio with bagna cauda and lavash impress as well. Entrees like the jang-glazed pork katsu are begging to be shared.","['crown', 'shi', 'occupi', 'stun', 'set', 'landmark', 'art', 'deco', 'tower', 'pine', 'street', 'strike', 'lobbi', 'lead', 'dine', 'room', 'soar', 'ceil', 'marbl', 'floor', 'expans', 'window', 'undeni', 'feast', 'sens', 'energi', 'made', 'more', 'palpabl', 'thank', 'long', 'bar', 'upbeat', 'playlist', 'kitchen', 'meanwhil', 'move', 'like', 'clockwork', 'approach', 'style', 'gruyr', 'fritter', 'classic', 'pillowi', 'ricotta', 'gnocchi', 'sometim', 'finish', 'vin', 'jaun', 'season', 'right', 'shave', 'white', 'truffl', 'char', 'carrot', 'razor', 'clam', 'coconut', 'curri', 'well', 'beef', 'carpaccio', 'bagna', 'cauda', 'lavash', 'impress', 'well', 'entre', 'like', 'jangglaz', 'pork', 'katsu', 'beg', 'share']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
38,Saga,40.706144,-74.007852,"70 Pine St., New York, 10005, USA",4,Contemporary,2,"In a landmark skyscraper that towers over the city, Saga is a jewel in every sense of the word. An aperitif from the terrace is a striking start before settling into one of several intimate rooms fit with peach and emerald velvet, green marble tables, and carved stone accents. An aura of class and comfort takes hold in preparation for a cuisine that is inspired and delightful. The team is currently presenting a roster of signatures. The likes of egg soufflé with caviar and bonito foam as well as black bass and scallop with carrot-ginger curry lead to a dry-aged duck tagine served with msemmen—griddled flatbread—and all the trimmings. Dessert displays particular strength for its sharp focus, say an arrangement of treats with sweet potato and birch as a theme.","['landmark', 'skyscrap', 'tower', 'over', 'citi', 'saga', 'jewel', 'everi', 'sens', 'word', 'aperitif', 'terrac', 'strike', 'start', 'befor', 'settl', 'one', 'sever', 'intim', 'room', 'fit', 'peach', 'emerald', 'velvet', 'green', 'marbl', 'tabl', 'carv', 'stone', 'accent', 'aura', 'class', 'comfort', 'take', 'hold', 'prepar', 'cuisin', 'inspir', 'delight', 'team', 'current', 'present', 'roster', 'signatur', 'like', 'egg', 'souffl', 'caviar', 'bonito', 'foam', 'well', 'black', 'bass', 'scallop', 'carrotging', 'curri', 'lead', 'dryag', 'duck', 'tagin', 'serv', 'msemmengriddl', 'flatbreadand', 'trim', 'dessert', 'display', 'particular', 'strength', 'sharp', 'focu', 'say', 'arrang', 'treat', 'sweet', 'potato', 'birch', 'theme']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
39,Le Coucou,40.719162,-74.00001,"138 Lafayette St., New York, 10013, USA",4,French,1,Le Coucou has a white-hot scene that’s equal parts classic and cool. Patrons linger late into the night enjoying exceptional service and a view of the bustling open kitchen.,"['coucou', 'whitehot', 'scene', 'that', 'equal', 'part', 'classic', 'cool', 'patron', 'linger', 'late', 'night', 'enjoy', 'servic', 'view', 'bustl', 'open', 'kitchen']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
40,Sushi Ichimura,40.721784,-74.010002,"412 Greenwich St., New York, 10013, USA",4,"Japanese, Sushi",1,"Among real sushi enthusiasts, Chef Eiji Ichimura is a household name. His career in the city spans two decades, and his commitment to edomae-style omakase has shaped this city’s sushi sensibility. He now finds himself in Tribeca behind a 10-seat counter made from gorgeous cedar wood. In some ways, there are no surprises: He works meticulously and at his own pace, slicing fish flown in from Japan three times a week. His rice is defined and generally warm, and his uni and caviar sandwich as well as his double and triple-layer tuna nigiri are still signatures. There’s just one thing: the price is steep, but that doesn’t faze his regulars, of which there are many. But regular or not, he treats everyone like a guest of his home.","['among', 'real', 'sushi', 'enthusiast', 'chef', 'eiji', 'ichimura', 'household', 'name', 'hi', 'career', 'citi', 'span', 'two', 'decad', 'hi', 'commit', 'edomaestyl', 'omakas', 'shape', 'citi', 'sushi', 'sensibl', 'now', 'find', 'himself', 'tribeca', 'behind', 'seat', 'counter', 'made', 'cedar', 'wood', 'some', 'way', 'there', 'surpris', 'work', 'meticul', 'hi', 'own', 'pace', 'slice', 'fish', 'flown', 'japan', 'three', 'time', 'week', 'hi', 'rice', 'defin', 'gener', 'warm', 'hi', 'uni', 'caviar', 'sandwich', 'well', 'hi', 'doubl', 'triplelay', 'tuna', 'nigiri', 'still', 'signatur', 'there', 'one', 'thing', 'price', 'steep', 'but', 'doesnt', 'faze', 'hi', 'regular', 'which', 'there', 'mani', 'but', 'regular', 'not', 'treat', 'everyon', 'like', 'guest', 'hi', 'home']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
41,L’Abeille,40.721939,-74.009951,"412 Greenwich St., New York, 10013, USA",4,"French, Contemporary",1,"L’Abeille reflects the luxurious charms of TriBeCa from its corner perch in this prized zip code. The restaurant is a darling space designed to the hilt with velvet cushioned seats and booths, a striking marble bar and handsome tables set with Christofle cutlery. The young Chef Mitsunobu Nagae is a calm, collected presence in the open kitchen, and years spent working at Joël Robuchon restaurants worldwide are evident. A harmonious union of French cooking with Japanese sensibilities, Nagae’s food is immediately approachable. From grilled trout with Champagne caviar sauce and scallion oil to lychee mousse with strawberry and shiso, each course is a vision of refinement. Charming servers in fitted suits roam the floor, keeping close watch on every seat.","['labeil', 'reflect', 'charm', 'tribeca', 'corner', 'perch', 'prize', 'zip', 'code', 'restaur', 'darl', 'space', 'design', 'hilt', 'velvet', 'cushion', 'seat', 'booth', 'strike', 'marbl', 'bar', 'handsom', 'tabl', 'set', 'christofl', 'cutleri', 'young', 'chef', 'mitsunobu', 'naga', 'calm', 'collect', 'presenc', 'open', 'kitchen', 'year', 'spent', 'work', 'jol', 'robuchon', 'restaur', 'worldwid', 'evid', 'harmoni', 'union', 'french', 'cook', 'japanes', 'sensibl', 'naga', 'food', 'immedi', 'approach', 'grill', 'trout', 'champagn', 'caviar', 'sauc', 'scallion', 'oil', 'lyche', 'mouss', 'strawberri', 'shiso', 'each', 'cours', 'vision', 'refin', 'server', 'fit', 'suit', 'roam', 'floor', 'keep', 'close', 'watch', 'everi', 'seat']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
42,Corima,40.714656,-73.992907,"3 Allen St., New York, 10002, USA",4,"Mexican, Contemporary",1,"On the edge of Chinatown, Chef Fidel Caballero is not holding anything back. Whether you sit at the kitchen counter for the ambitious tasting menu or order à la carte in the boisterous dining room, the cooking is a singularly original and bold celebration of Mexican cuisine. If anything, there must be an order of sourdough tortillas somewhere on the table. Made with Sonoran wheat and chicken fat, these delicate, perfectly griddled discs served with recado negro butter will lock in a return visit. Better yet, this won’t be the only course worth returning for. The likes of lobster nicuatole, black cod with salsa Veracruzana, and sweetbreads with bitter almond foam make for lasting impressions. From the bar, find Mexican spirits and natural wines.","['edg', 'chinatown', 'chef', 'fidel', 'caballero', 'not', 'hold', 'anyth', 'back', 'whether', 'sit', 'kitchen', 'counter', 'ambiti', 'tast', 'menu', 'order', 'cart', 'boister', 'dine', 'room', 'cook', 'singularli', 'origin', 'bold', 'celebr', 'mexican', 'cuisin', 'anyth', 'there', 'must', 'order', 'sourdough', 'tortilla', 'somewher', 'tabl', 'made', 'sonoran', 'wheat', 'chicken', 'fat', 'these', 'delic', 'perfectli', 'griddl', 'disc', 'serv', 'recado', 'negro', 'butter', 'will', 'lock', 'return', 'visit', 'better', 'yet', 'wont', 'onli', 'cours', 'worth', 'return', 'like', 'lobster', 'nicuatol', 'black', 'cod', 'salsa', 'veracruzana', 'sweetbread', 'bitter', 'almond', 'foam', 'make', 'last', 'impress', 'bar', 'find', 'mexican', 'spirit', 'natur', 'wine']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
43,Dirt Candy,40.71794,-73.99087,"86 Allen St., New York, 10002, USA",4,"Vegetarian, Vegan",1,"Chef Amanda Cohen was an advocate of vegetable- and plant-based cooking long before it was cool, and her Lower East Side flagship continues to flourish as a pioneer in ethical eating with refined technique. Now, it enters an exciting new chapter in its long history. A single tasting menu yields a breadth of dishes that never masquerade as meat. A simple-seeming salad is anything but, with a blend of fresh and pickled iceberg lettuce with roasted celtuce, crispy puffed rice, and labneh that hits every mark. Then, a single yeasted donut is filled with a tomato, topped with smoked feta, and finished with concassé cherry tomatoes for an inventive take on a single ingredient. Dessert, too, follows in the same imaginative vein, with savory onions making their way into sweet dishes. A meal of this caliber is a true experience, and guests are sure to leave feeling nourished.","['chef', 'amanda', 'cohen', 'advoc', 'veget', 'plantbas', 'cook', 'long', 'befor', 'cool', 'her', 'lower', 'east', 'side', 'flagship', 'continu', 'flourish', 'pioneer', 'ethic', 'eat', 'refin', 'techniqu', 'now', 'enter', 'excit', 'new', 'chapter', 'long', 'histori', 'singl', 'tast', 'menu', 'yield', 'breadth', 'dish', 'never', 'masquerad', 'meat', 'simpleseem', 'salad', 'anyth', 'but', 'blend', 'pickl', 'iceberg', 'lettuc', 'roast', 'celtuc', 'crispi', 'puf', 'rice', 'labneh', 'hit', 'everi', 'mark', 'then', 'singl', 'yeast', 'donut', 'fill', 'tomato', 'top', 'smoke', 'feta', 'finish', 'concass', 'cherri', 'tomato', 'invent', 'take', 'singl', 'ingredi', 'dessert', 'too', 'follow', 'same', 'imagin', 'vein', 'savori', 'onion', 'make', 'way', 'sweet', 'dish', 'meal', 'calib', 'true', 'experi', 'guest', 'sure', 'leav', 'feel', 'nourish']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
44,César,40.727178,-74.007609,"333 Hudson St., New York, 10013, USA",4,"Contemporary, Seafood",2,"César Ramirez is one of the few chefs who, night after night, has the difficult task of meeting his own singular standards of high-wire precision. His new downtown restaurant brings a sleek, minimal look to a century-old address. As might be expected, world-class seafood plays a large role in his tasting menu which features such delights as a morsel of blackthroat seaperch from Chiba, crudo of fluke from Jeju Island, and langoustine from Norway dressed with caviar and smoked trout. A masterful hand with sauces and a sense for harmonious, exacting combinations demonstrate both creativity and maturity. An eager service team oversees the spacious room where counter and table seating alike offer a prime vantage point for watching this kinetic kitchen.","['csar', 'ramirez', 'one', 'few', 'chef', 'who', 'night', 'after', 'night', 'difficult', 'task', 'meet', 'hi', 'own', 'singular', 'standard', 'highwir', 'precis', 'hi', 'new', 'downtown', 'restaur', 'bring', 'sleek', 'minim', 'look', 'centuryold', 'address', 'might', 'expect', 'worldclass', 'seafood', 'play', 'larg', 'role', 'hi', 'tast', 'menu', 'which', 'featur', 'delight', 'morsel', 'blackthroat', 'seaperch', 'chiba', 'crudo', 'fluke', 'jeju', 'island', 'langoustin', 'norway', 'dress', 'caviar', 'smoke', 'trout', 'master', 'hand', 'sauc', 'sens', 'harmoni', 'exact', 'combin', 'demonstr', 'both', 'creativ', 'matur', 'eager', 'servic', 'team', 'overse', 'spaciou', 'room', 'where', 'counter', 'tabl', 'seat', 'alik', 'offer', 'prime', 'vantag', 'point', 'watch', 'kinet', 'kitchen']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
45,Torrisi,40.724364,-73.995278,"275 Mulberry St., New York, 10012, USA",4,"Contemporary, Italian-American",1,"There is perfection in the details at Torrisi, where waiters are crisply dressed in dinner jackets and tables are draped in pressed linens, but the buzzy warmth is as charming as the good looks. Nestled inside the landmark Puck Building, this highly imaginative restaurant expertly balances the creative and the familiar. Nothing feels copied or contrived, and while some of the dishes may seem familiar, they've all been revamped with panache. The team caters to excited diners who feast on items like tuna with pickled caponata, penne with sauteed baby chanterelles in a luscious butter sauce, and an Italian riff on Dover sole with Francese sauce. Affogato arrives in an oversized martini glass with vanilla ice cream, chocolate fudge, and an espresso granita.","['there', 'perfect', 'detail', 'torrisi', 'where', 'waiter', 'crispli', 'dress', 'dinner', 'jacket', 'tabl', 'drape', 'press', 'linen', 'but', 'buzzi', 'warmth', 'look', 'nestl', 'insid', 'landmark', 'puck', 'build', 'highli', 'imagin', 'restaur', 'expertli', 'balanc', 'familiar', 'noth', 'feel', 'copi', 'contriv', 'while', 'some', 'dish', 'may', 'seem', 'familiar', 'theyv', 'revamp', 'panach', 'team', 'cater', 'excit', 'diner', 'who', 'feast', 'item', 'like', 'tuna', 'pickl', 'caponata', 'penn', 'saute', 'babi', 'chanterel', 'lusciou', 'butter', 'sauc', 'italian', 'riff', 'dover', 'sole', 'frances', 'sauc', 'affogato', 'arriv', 'overs', 'martini', 'glass', 'vanilla', 'ice', 'cream', 'chocol', 'fudg', 'espresso', 'granita']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
